direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Werner Herzog,6.805555555555558,54,367.5000000000001,3230.0,2.0,1616.0,169.0
Jean-Luc Godard,6.802127659574469,47,319.70000000000005,3231.0,6.0,1618.5,170.0
Chris Marker,6.894736842105263,19,131.0,3120.0,135.0,1627.5,171.0
Stan Brakhage,6.963636363636363,11,76.6,2825.0,439.5,1632.25,172.0
Tatyana Lioznova,7.766666666666667,3,23.3,821.0,2444.5,1632.75,173.0
Basil Dearden,6.925000000000001,12,83.10000000000001,2884.0,384.0,1634.0,174.0
Albert Serra,7.766666666666666,3,23.299999999999997,822.0,2451.5,1636.75,175.0
Michael Haneke,6.916666666666667,12,83.0,2891.0,386.5,1638.75,176.0
Steven Okazaki,7.733333333333333,3,23.2,832.5,2459.0,1645.75,177.5
Daniel Gordon,7.733333333333333,3,23.2,832.5,2459.0,1645.75,177.5
Petr Zelenka,7.2,5,36.0,1882.5,1429.5,1656.0,180.0
Matthew Vaughn,7.2,5,36.0,1882.5,1429.5,1656.0,180.0
Frank Darabont,7.2,5,36.0,1882.5,1429.5,1656.0,180.0
Im Kwon-taek,7.375,4,29.5,1479.5,1848.5,1664.0,182.5
Lars von Trier,6.825,20,136.5,3207.5,120.5,1664.0,182.5
Todd Haynes,6.959999999999999,10,69.6,2829.5,516.5,1673.0,184.0
Amy Berg,7.099999999999999,6,42.599999999999994,2210.5,1139.0,1674.75,185.0
Genndy Tartakovsky,7.35,4,29.4,1496.5,1855.0,1675.75,186.5
Laura Poitras,7.35,4,29.4,1496.5,1855.0,1675.75,186.5
Karel Kachyňa,7.7,3,23.1,889.0,2466.5,1677.75,188.0
Zhang Yang,7.083333333333333,6,42.5,2215.0,1141.0,1678.0,189.0
Takeshi Kitano,6.841176470588234,17,116.29999999999998,3182.0,187.0,1684.5,190.0
PES,7.325,4,29.3,1509.0,1861.5,1685.25,191.0
Pantelis Voulgaris,7.324999999999999,4,29.299999999999997,1510.0,1865.0,1687.5,192.0
Mel Gibson,7.18,5,35.9,1973.0,1436.0,1704.5,194.0
Erik Balling,7.18,5,35.9,1973.0,1436.0,1704.5,194.0
Joris Ivens,7.18,5,35.9,1973.0,1436.0,1704.5,194.0
Danny Boyle,6.871428571428571,14,96.19999999999999,3127.0,292.0,1709.5,196.0
Gautham Vasudev Menon,7.160000000000001,5,35.800000000000004,1984.0,1440.0,1712.0,197.0
Richie Mehta,7.666666666666667,3,23.0,948.5,2478.0,1713.25,198.5
Max Färberböck,7.666666666666667,3,23.0,948.5,2478.0,1713.25,198.5
Dziga Vertov,6.988888888888889,9,62.9,2796.0,631.5,1713.75,200.0
Wojciech Has,7.159999999999999,5,35.8,1985.0,1443.5,1714.25,201.0
Shôhei Imamura,6.84,15,102.6,3184.0,254.0,1719.0,202.0
Sue Brooks,7.633333333333334,3,22.900000000000002,964.0,2486.0,1725.0,203.0
Ousmane Sembene,6.966666666666666,9,62.699999999999996,2816.0,635.0,1725.5,204.0
Heddy Honigmann,7.6000000000000005,3,22.8,966.5,2496.5,1731.5,206.0
Sadao Yamanaka,7.6000000000000005,3,22.8,966.5,2496.5,1731.5,206.0
Yuri Ilyenko,7.6000000000000005,3,22.8,966.5,2496.5,1731.5,206.0
Lance Bangs,6.869230769230769,13,89.3,3128.0,337.5,1732.75,208.0
Denis Villeneuve,6.955555555555557,9,62.60000000000001,2832.0,636.5,1734.25,209.0
Kouji Morimoto,7.0,7,49.0,2550.5,938.5,1744.5,210.0
Abdellatif Kechiche,7.12,5,35.6,2038.5,1453.0,1745.75,211.5
Ben Sombogaart,7.12,5,35.6,2038.5,1453.0,1745.75,211.5
Aaron C. Peer,9.0,2,18.0,124.5,3373.5,1749.0,213.0
John Cassavetes,6.8999999999999995,12,82.8,3112.5,390.0,1751.25,214.0
Andrés Wood,7.3,4,29.2,1634.5,1869.5,1752.0,215.5
Kurt Hoffmann,7.3,4,29.2,1634.5,1869.5,1752.0,215.5
Neill Blomkamp,6.933333333333334,9,62.4,2872.0,646.0,1759.0,217.0
Kenneth Anger,6.9,10,69.0,3001.5,530.0,1765.75,218.0
Jay Oliva,6.922222222222222,9,62.3,2888.0,649.0,1768.5,219.0
Jim Sheridan,6.9111111111111105,9,62.199999999999996,2895.0,651.0,1773.0,220.0
Peter Weir,6.807692307692307,13,88.49999999999999,3229.0,340.0,1784.5,221.0
Zak Levitt,8.9,2,17.8,155.0,3419.5,1787.25,222.0
Jeethu Joseph,7.566666666666667,3,22.700000000000003,1072.5,2507.0,1789.75,224.5
Jiang Wen,7.566666666666667,3,22.700000000000003,1072.5,2507.0,1789.75,224.5
Mohammad Rasoulof,7.566666666666667,3,22.700000000000003,1072.5,2507.0,1789.75,224.5
Aditya Chopra,7.566666666666667,3,22.700000000000003,1072.5,2507.0,1789.75,224.5
Krisztina Goda,7.566666666666666,3,22.7,1075.5,2515.0,1795.25,227.5
Dean DeBlois,7.566666666666666,3,22.7,1075.5,2515.0,1795.25,227.5
Lee Chang-dong,7.1,5,35.5,2132.0,1460.5,1796.25,230.0
Onur Ünlü,7.1,5,35.5,2132.0,1460.5,1796.25,230.0
Jorge Furtado,7.1,5,35.5,2132.0,1460.5,1796.25,230.0
Ben Hopkins,8.85,2,17.7,158.0,3444.5,1801.25,232.0
Norman René,7.533333333333334,3,22.6,1086.0,2523.0,1804.5,234.5
Andrzej Jakimowski,7.533333333333334,3,22.6,1086.0,2523.0,1804.5,234.5
Bruce Timm,7.533333333333334,3,22.6,1086.0,2523.0,1804.5,234.5
Bruce Gowers,7.533333333333334,3,22.6,1086.0,2523.0,1804.5,234.5
Adam Carolla,7.533333333333332,3,22.599999999999998,1089.5,2530.5,1810.0,237.0
Natuk Baytan,7.275,4,29.1,1750.0,1873.0,1811.5,238.0
Sam Garbarski,7.2749999999999995,4,29.099999999999998,1751.0,1874.5,1812.75,239.0
Robert Zemeckis,6.794736842105263,19,129.1,3500.0,139.0,1819.5,240.0
James Mangold,6.899999999999999,10,68.99999999999999,3119.0,531.0,1825.0,241.0
Milton Katselas,7.25,4,29.0,1775.5,1877.5,1826.5,242.5
Robert B. Weide,7.25,4,29.0,1775.5,1877.5,1826.5,242.5
Aurelio Grimaldi,8.75,2,17.5,174.5,3489.5,1832.0,244.5
Kevin Dunn,8.75,2,17.5,174.5,3489.5,1832.0,244.5
Patricio Guzmán,6.9125,8,55.3,2894.0,781.0,1837.5,246.0
Ryszard Bugajski,7.225,4,28.9,1798.5,1882.0,1840.25,247.5
Eric Idle,7.225,4,28.9,1798.5,1882.0,1840.25,247.5
Brad Bird,7.080000000000001,5,35.400000000000006,2216.0,1466.0,1841.0,249.0
J.J. Abrams,7.08,5,35.4,2217.5,1468.5,1843.0,250.5
Kang Woo-Suk,7.08,5,35.4,2217.5,1468.5,1843.0,250.5
Chuck Jones,6.7037037037037015,27,180.99999999999994,3638.0,49.0,1843.5,252.0
Hector Babenco,7.0,6,42.0,2550.5,1151.5,1851.0,253.5
Heidi Ewing,7.0,6,42.0,2550.5,1151.5,1851.0,253.5
Vincent Bal,7.06,5,35.3,2239.0,1474.0,1856.5,255.0
Edgar Reitz,8.65,2,17.3,193.5,3527.0,1860.25,256.5
Andrew Jenks,8.65,2,17.3,193.5,3527.0,1860.25,256.5
Tim Burton,6.733333333333333,21,141.4,3613.0,108.0,1860.5,258.0
Alain Resnais,6.704545454545454,22,147.5,3637.0,95.0,1866.0,259.0
Andrzej Wajda,6.742105263157894,19,128.1,3592.0,141.0,1866.5,260.0
Roger Allers,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Dick Proenneke,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Alexandra Pelosi,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Richard Danto,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Dave Schram,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Ben Lewis,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Moustapha Akkad,7.5,3,22.5,1193.0,2543.0,1868.0,264.0
Morten Tyldum,7.040000000000001,5,35.2,2275.5,1481.0,1878.25,269.0
Chris Bould,8.6,2,17.2,197.5,3559.0,1878.25,269.0
Kate Davis,7.040000000000001,5,35.2,2275.5,1481.0,1878.25,269.0
Jafar Panahi,6.82,10,68.2,3219.5,541.5,1880.5,271.0
Nicolo Donato,7.039999999999999,5,35.199999999999996,2277.0,1485.0,1881.0,272.0
Elia Kazan,6.721052631578947,19,127.69999999999999,3627.0,143.5,1885.25,273.0
Özcan Deniz,7.2,4,28.8,1882.5,1891.0,1886.75,274.5
Satsuo Yamamoto,7.2,4,28.8,1882.5,1891.0,1886.75,274.5
Paolo Virzì,6.957142857142856,7,48.699999999999996,2831.0,948.0,1889.5,276.0
Sion Sono,6.766666666666667,15,101.5,3524.5,256.0,1890.25,277.0
Pierre Adidge,8.55,2,17.1,201.0,3584.5,1892.75,278.0
Shinichiro Watanabe,7.0200000000000005,5,35.1,2299.5,1488.0,1893.75,280.5
Jan Jakub Kolski,7.0200000000000005,5,35.1,2299.5,1488.0,1893.75,280.5
Wolfgang Murnberger,7.0200000000000005,5,35.1,2299.5,1488.0,1893.75,280.5
Lou Ye,7.0200000000000005,5,35.1,2299.5,1488.0,1893.75,280.5
Tom Hooper,6.866666666666667,9,61.800000000000004,3133.5,656.5,1895.0,283.0
Kenji Kamiyama,7.019999999999999,5,35.099999999999994,2302.0,1491.5,1896.75,284.0
Jim Jarmusch,6.771428571428572,14,94.80000000000001,3516.5,298.0,1907.25,285.0
Jiří Menzel,6.928571428571429,7,48.5,2881.0,951.0,1916.0,286.0
Terry Gilliam,6.764285714285714,14,94.7,3532.0,300.5,1916.25,287.0
Sam Mendes,6.928571428571428,7,48.49999999999999,2882.0,952.5,1917.25,288.0
